Site,Reef type,avg_lon,avg_lat
Little Dume West,Natural reef,-118.789897666667,34.00488
Hermosa Beach AR - Giants,Artificial reef,-118.412946,33.853633
Albondigas,Natural reef,-118.416266666667,33.7502966666667
Golden Cove,Natural reef,-118.41493,33.75277
Marguerite West,Natural reef,-118.41918826087,33.7579495652174
Underwater Arch,Natural reef,-118.417036666667,33.7516246666667
Marguerite Central,Natural reef,-118.418335,33.7566785
Marina del Rey AR - F,Artificial reef,-118.4866655,33.9675965
Marina del Rey AR - I,Artificial reef,-118.485777,33.9685625
Marina del Rey AR - K,Artificial reef,-118.487437,33.9689735
Abalone Cove Kelp West,Natural reef,-118.387306666667,33.73857
120 Reef,Natural reef,-118.392305294118,33.7378217647059
KOU Rock,Natural reef,-118.33944,33.7200725
Old Marineland,Natural reef,-118.39501,33.73738
3 Palms East,Natural reef,-118.3326175,33.7168475
3 Palms West,Natural reef,-118.335335,33.7185275
Rocky Point North,Natural reef,-118.429797692308,33.7807569230769
SCLI - Pyramid Cove,Natural reef,-118.371027777778,32.8159722222222
Flat Rock South,Natural reef,-118.413648333333,33.7959803333333
Flat Rock North,Natural reef,-118.40672,33.80098
SBI - Cat Canyon,Natural reef,-119.04495925,33.46407275
SBI - Sutil,Natural reef,-119.04858575,33.46542175
SBI - Southeast Reef,Natural reef,-119.0287775,33.4635525
SBI - Southeast Sealion,Natural reef,-119.0285,33.4690033333333
Marguerite East,Natural reef,-118.417116875,33.75554125
Ridges North,Natural reef,-118.423965,33.78818
Christmas Tree Cove,Natural reef,-118.4218456,33.7615704
Honeymoon Cove,Natural reef,-118.42529275,33.764214
Santa Monica AR - A,Artificial reef,-118.53036,34.00957
Point Vicente West,Natural reef,-118.413756190476,33.7398883333333
SCAI - Hen Rock,Natural reef,-118.366496666667,33.3996366666667
SCAI - Italian Gardens,Natural reef,-118.375503333333,33.4106413333333
SCAI - Ship Rock,Natural reef,-118.49187,33.4635425
SCAI - Indian Rock,Natural reef,-118.524612352941,33.4685870588235
SCAI - Blue Cavern,Natural reef,-118.479277333333,33.448074
SCAI - Ripper's Cove,Natural reef,-118.435324,33.4282885
Segovia,Natural reef,-118.423565909091,33.7623413636364
Cairns,Natural reef,-118.307470666667,33.7104173333333
SCAI - Cat Harbor,Natural reef,-118.5113884,33.4258257333333
Lunada Bay,Natural reef,-118.43168875,33.77106175
SCAI - Bird Rock,Natural reef,-118.487476521739,33.4532056521739
Santa Monica AR - B,Artificial reef,-118.531234,34.009324
Santa Monica AR - C,Artificial reef,-118.530878,34.008944
Resort Point,Natural reef,-118.4277385,33.76653325
Rocky Point South,Natural reef,-118.4322935,33.77587475
Ridges South,Natural reef,-118.426067441176,33.7858840294118
Portuguese Point,Natural reef,-118.375510666667,33.736317
Portuguese Bend,Natural reef,-118.35755575,33.72750175
Escondido West,Natural reef,-118.7734165,34.0212175
Bunker Point,Natural reef,-118.3537734375,33.724880625
Cape Point,Natural reef,-118.34046525,33.7207215
Old 18th,Natural reef,-118.34410030303,33.722573030303
Burial Grounds,Natural reef,-118.34768,33.7238925
Nicholas Canyon West,Natural reef,-118.92273,34.0405233333333
Lechuza,Natural reef,-118.862795818182,34.0327018181818
Long Point East,Natural reef,-118.401594516129,33.7353209677419
PVR 8C,Artificial reef,-118.34039,33.71836
PVR 8B,Artificial reef,-118.34057,33.71884
PVR 7C,Artificial reef,-118.34231,33.71962
PVR 8A,Artificial reef,-118.34009,33.7193
SCAI - China Point,Natural reef,-118.469496666667,33.3299366666667
SCAI - Salta Verde,Natural reef,-118.421993076923,33.3147384615385
Matlahuayl,Natural reef,-117.27038,32.852715
Children's Pool,Natural reef,-117.27887,32.8521466666667
South La Jolla,Natural reef,-117.286525,32.81285
Point Loma Central,Natural reef,-117.267861,32.7098265
Swami's,Natural reef,-117.30076,33.0358266666667
Leucadia,Natural reef,-117.310633333333,33.06438
San Mateo Kelp,Natural reef,-117.608125,33.384795
Crystal Cove,Natural reef,-117.836073333333,33.56395
Heisler Park,Natural reef,-117.792096666667,33.54058
Laguna Beach,Natural reef,-117.780243333333,33.5309633333333
Dana Point,Natural reef,-117.721753333333,33.46631
PVR 7A,Artificial reef,-118.3424,33.7204
PVR 7B,Artificial reef,-118.34245,33.72019
PVR 6D,Artificial reef,-118.34391,33.72051
PVR 6C,Artificial reef,-118.34387,33.71998
PVR 6A,Artificial reef,-118.34388,33.72102
PVR 5C,Artificial reef,-118.34526,33.72046
PVR 5B,Artificial reef,-118.3454,33.72099
PVR 5A,Artificial reef,-118.34582,33.72157
PVR 4B,Artificial reef,-118.3467833,33.72156
PVR 4D,Artificial reef,-118.3472053,33.72197
PVR 4C,Artificial reef,-118.3467384,33.7211
Long Point West,Natural reef,-118.40332,33.73727
Hawthorne Reef,Natural reef,-118.4174525,33.7470125
Point Dume,Natural reef,-118.8071013,33.9985533333333
SCAI - Iron Bound Cove,Natural reef,-118.575492633333,33.44765
PVR 2C,Artificial reef,-118.3491,33.72254
PVR 2B,Artificial reef,-118.34978,33.72278
PVR 2A,Artificial reef,-118.34996,33.7234
Whites Point,Natural reef,-118.322996666667,33.7146966666667
Point Fermin,Natural reef,-118.29799,33.7056266666667
