taxa,common_name_final,Site,DepthZone,mean_density_m2
Macrocystis pyrifera,giant kelp,Malibu Bluffs,Inner,0.00833333333333333
Pterygophora californica,stalked kelp,Malibu Bluffs,Inner,0.00833333333333333
Stephanocystis spp.,,Malibu Bluffs,Inner,0.0416666666666667
Eisenia arborea,southern sea palm,Malibu Bluffs,Middle,0.00833333333333333
Laminaria farlowii,golden kombu,Malibu Bluffs,Middle,0.00833333333333333
Macrocystis pyrifera,giant kelp,Malibu Bluffs,Middle,0.0916666666666667
Pterygophora californica,stalked kelp,Malibu Bluffs,Middle,0.25
Stephanocystis spp.,,Malibu Bluffs,Middle,0.108333333333333
Pterygophora californica,stalked kelp,Big Rock,Inner,0.00833333333333333
Stephanocystis spp.,,Big Rock,Inner,0.0416666666666667
